,account,currency,long_lat,txn_description,first_name,balance,date,gender,age,amount,country,customer_id,movement,month,time,Longitude,Latitude
0,ACC-1598451071,AUD,153.41 -27.95,POS,Diana,35.39,2018-08-01,F,26,16.25,Australia,CUS-2487424745,debit,August,01:01:15,153.41,-27.95
1,ACC-1598451071,AUD,153.41 -27.95,SALES-POS,Diana,21.2,2018-08-01,F,26,14.19,Australia,CUS-2487424745,debit,August,01:13:45,153.41,-27.95
2,ACC-1222300524,AUD,151.23 -33.94,POS,Michael,5.71,2018-08-01,M,38,6.42,Australia,CUS-2142601169,debit,August,01:26:15,151.23,-33.94
3,ACC-1037050564,AUD,153.10 -27.66,SALES-POS,Rhonda,2117.22,2018-08-01,F,40,40.9,Australia,CUS-1614226872,debit,August,01:38:45,153.10,-27.66
4,ACC-1598451071,AUD,153.41 -27.95,SALES-POS,Diana,17.95,2018-08-01,F,26,3.25,Australia,CUS-2487424745,debit,August,01:51:15,153.41,-27.95
5,ACC-1608363396,AUD,151.22 -33.87,PAYMENT,Robert,1705.43,2018-08-01,M,20,163.0,Australia,CUS-2688605418,debit,August,02:00:00,151.22,-33.87
6,ACC-2776252858,AUD,144.95 -37.76,SALES-POS,Kristin,1248.36,2018-08-01,F,43,61.06,Australia,CUS-4123612273,debit,August,02:23:04,144.95,-37.76
7,ACC-2776252858,AUD,144.95 -37.76,POS,Kristin,1232.75,2018-08-01,F,43,15.61,Australia,CUS-4123612273,debit,August,04:11:25,144.95,-37.76
8,ACC-182446574,AUD,116.06 -32.00,POS,Tonya,213.16,2018-08-01,F,27,19.25,Australia,CUS-3026014945,debit,August,04:40:00,116.06,-32.00
9,ACC-602667573,AUD,151.23 -33.96,INTER BANK,Michael,466.58,2018-08-01,M,40,21.0,Australia,CUS-2031327464,debit,August,06:00:00,151.23,-33.96
10,ACC-2171593283,AUD,146.94 -36.04,PAYMENT,Fernando,4348.5,2018-08-01,M,19,27.0,Australia,CUS-2317998716,debit,August,06:00:00,146.94,-36.04
11,ACC-2776252858,AUD,144.95 -37.76,PAYMENT,Kristin,1203.75,2018-08-01,F,43,29.0,Australia,CUS-4123612273,debit,August,06:00:00,144.95,-37.76
12,ACC-182446574,AUD,116.06 -32.00,SALES-POS,Tonya,207.08,2018-08-01,F,27,6.08,Australia,CUS-3026014945,debit,August,06:06:40,116.06,-32.00
13,ACC-588564840,AUD,151.27 -33.76,INTER BANK,Isaiah,4438.16,2018-08-01,M,23,25.0,Australia,CUS-1462656821,debit,August,07:00:00,151.27,-33.76
14,ACC-1496451953,AUD,145.16 -37.84,INTER BANK,Ricky,173.66,2018-08-01,M,43,39.0,Australia,CUS-3142625864,debit,August,07:00:00,145.16,-37.84
15,ACC-1903037542,AUD,153.05 -27.61,POS,Jeffrey,2.85,2018-08-01,M,30,10.79,Australia,CUS-860700529,debit,August,07:20:48,153.05,-27.61
16,ACC-2014856841,AUD,144.99 -37.90,INTER BANK,Patrick,260514.83,2018-08-01,M,46,22.0,Australia,CUS-2370108457,debit,August,08:00:00,144.99,-37.90
17,ACC-4163822186,AUD,149.03 -34.97,PAYMENT,Karen,3117.94,2018-08-01,F,26,55.0,Australia,CUS-2630892467,debit,August,08:00:00,149.03,-34.97
18,ACC-3954677887,AUD,115.72 -32.28,PAYMENT,Ruth,38.31,2018-08-01,F,47,58.0,Australia,CUS-3716701010,debit,August,08:00:00,115.72,-32.28
19,ACC-4258502723,AUD,145.45 -37.74,POS,Kimberly,708.28,2018-08-01,F,24,7.37,Australia,CUS-3378712515,debit,August,08:00:11,145.45,-37.74
